Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,ParentId,Ownership,Footnotes,IsNested
000155837025003995,EX-21,"https://www.sec.gov/Archives/edgar/data/1056943/000155837025003995/pfis-20241231xex21d1.htm",Failed,"FAILED","","0","","","","","false"
000121465925004675,EX-21,"https://www.sec.gov/Archives/edgar/data/105744/000121465925004675/ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000105770625000002,EX-21,"https://www.sec.gov/Archives/edgar/data/1057706/000105770625000002/exhibit211.htm",Failed,"FAILED","","0","","","","","false"
000010577025000013,EX-21,"https://www.sec.gov/Archives/edgar/data/105770/000010577025000013/ex21listofsubsidiaries/2024.htm",Failed,"FAILED","","0","","","","","false"
000105862325000031,EX-21,"https://www.sec.gov/Archives/edgar/data/1058623/000105862325000031/exhibit211subsidiarylisting.htm",Failed,"FAILED","","0","","","","","false"
000105955625000025,EX-21,"https://www.sec.gov/Archives/edgar/data/1059556/000105955625000025/mco-20241231xexx21.htm",Failed,"FAILED","","0","","","","","false"
000106082225000030,EX-21,"https://www.sec.gov/Archives/edgar/data/1060822/000106082225000030/listofsubs2024exh210.htm",Failed,"FAILED","","0","","","","","false"
000106121925000006,EX-21,"https://www.sec.gov/Archives/edgar/data/1061219/000106121925000006/exhibit21/1.htm",Failed,"FAILED","","0","","","","","false"
000155837025002984,EX-21,"https://www.sec.gov/Archives/edgar/data/106532/000155837025002984/weys-20241231xex21.htm",Failed,"FAILED","","0","","","","","false"
000106660525000017,EX-21,"https://www.sec.gov/Archives/edgar/data/1066605/000106660525000017/ex2101-hsiix20241231.htm",Failed,"FAILED","","0","","","","","false"
000110465925093663,EX-21,"https://www.sec.gov/Archives/edgar/data/1067294/000110465925093663/cbrl-20250801xex21.htm",Failed,"FAILED","","0","","","","","false"
000106918325000019,EX-21,"https://www.sec.gov/Archives/edgar/data/1069183/000106918325000019/axon-20241231xex211.htm",Failed,"FAILED","","0","","","","","false"
000106925825000008,EX-21,"https://www.sec.gov/Archives/edgar/data/1069258/000106925825000008/ktos20241229ex-211.htm",Failed,"FAILED","","0","","","","","false"
000143774925036827,EX-21,"https://www.sec.gov/Archives/edgar/data/1069533/000143774925036827/ex/862186.htm",Failed,"FAILED","","0","","","","","false"
000107041225000049,EX-21,"https://www.sec.gov/Archives/edgar/data/1070412/000107041225000049/exhibit21subsidiaries12-31.htm",Failed,"FAILED","","0","","","","","false"
000107068025000010,EX-21,"https://www.sec.gov/Archives/edgar/data/1070680/000107068025000010/cfbk-20241231xex21/1.htm",Failed,"FAILED","","0","","","","","false"
